ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Surigaonon,Surigaonon,,9.0,126.0,suri1273,,,Surigaonon
SyeErromangan,SyeErromangan,,-18.8181,169.166,siee1239,,xd865,Sie
Tabar,Tabar,,-2.7828,151.956,mand1440,,,Mandara
TaeSToraja,TaeSToraja,,-2.97144,119.829,tora1261,,xd767,Toraja-Sa'dan
Tagalog,Tagalog,,14.06,121.747,taga1270,,,Tagalog
TagbanwaAborlan_D,TagbanwaAborlan_D,,10.6519,119.338,cent2090,,xd747,Central Tagbanwa
TagbanwaKalamianCoronIsland_D,TagbanwaKalamianCoronIsland_D,,12.0716,120.094,cala1258,,,Calamian Tagbanwa
TahitianModern,TahitianModern,,-17.6485,-149.45,tahi1242,,xd897,Tahitian
Taiof,Taiof,,-5.64103,154.732,sapo1253,,,Saposa
Takuu,Takuu,,-4.773094,157.032085,taku1257,,,Takuu
Talur,Talur,,-8.61074,125.959,galo1243,,,Galoli-Talur
Tanema,Tanema,,-11.68,166.97,tane1237,,,Tanema
Tanimbili,Tanimbili,,-11.2975,166.507,tani1255,,,Tanimbili
TannaSouthwest,TannaSouthwest,,-19.57953,169.35603,sout2869,,xd863,Southwest Tanna
Tape,Tape,,-16.0695,167.33,mara1399,,,Maragus
TausugJolo_D,TausugJolo_D,,5.12236,118.88,taus1251,,,Tausug
TboliTagabili,TboliTagabili,,6.20377,124.538,tbol1240,,,Tboli
Teanu,Teanu,,-11.6752,166.868,tean1237,,,Teanu
TelaMasbuar,TelaMasbuar,,-8.01195,129.687,tela1241,,,Tela-Masbuar
Teop,Teop,,-5.67474,154.971,teop1238,,,Teop
